[INFO ] 2019-04-20 15:55:02,877 -- WorkingPath: ./CARSKit.Workspace/
[INFO ] 2019-04-20 15:55:02,883 -- Your original rating data path: ./result.csv
[INFO ] 2019-04-20 15:55:02,883 -- Current working path: ./CARSKit.Workspace/
[WARN ] 2019-04-20 15:55:02,885 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2019-04-20 15:55:02,904 -- User, Item, Rating, start:đà nẵng, start:hà nội, start:hồ chí minh, price:cheap, price:expensive, price:reasonable, date:weekday, date:weekend, duration:3, duration:5, :na
[INFO ] 2019-04-20 15:55:02,919 -- Data transformaton completed (from Compact to Binary format). See new rating file: ./CARSKit.Workspace/train.csv
[INFO ] 2019-04-20 15:55:02,931 -- Dataset: ./CARSKit.Workspace/train.csv
[INFO ] 2019-04-20 15:55:02,933 -- DataPath: ./CARSKit.Workspace/train.csv
[INFO ] 2019-04-20 15:55:02,967 -- Rating data set has been successfully loaded.
[INFO ] 2019-04-20 15:55:02,970 -- 
/***********************************************************************
 *
 * Dataset: ./CARSKit.Workspace/train.csv
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 102
 * Item amount: 30
 * Rate amount: 579
 * Context dimensions: 5 (start, price, date, duration, )
 * Context conditions: 11 (start: 3, price: 3, date: 2, duration: 2, : 1)
 * Context situations: 16
 * Data density: 0.5256%
 * Scale distribution: [4.0 x 108, 4.5 x 361, 3.5 x 110]
 * Average value of all ratings: 4.216753
 * Standard deviation of all ratings: 0.395457
 * Mode of all rating values: 4.500000
 * Median of all rating values: 4.500000
 *
 ***********************************************************************/
[INFO ] 2019-04-20 15:55:02,972 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2019-04-20 15:55:02,976 -- Fold [1]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,978 -- Fold [2]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,979 -- Fold [3]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,980 -- Fold [4]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,982 -- Fold [5]: training amount: 464, test amount: 115
[DEBUG] 2019-04-20 15:55:03,214 -- CAMF_CU fold [2] iter 34: loss = 0.3826576, delta_loss = 0.031893093, learn_rate = 0.09529883
[DEBUG] 2019-04-20 15:55:03,215 -- CAMF_CU fold [3] iter 24: loss = 1.1447202, delta_loss = 0.13831227, learn_rate = 0.058505215
[DEBUG] 2019-04-20 15:55:03,215 -- CAMF_CU fold [4] iter 37: loss = 0.38603824, delta_loss = 0.026645549, learn_rate = 0.11032031
[DEBUG] 2019-04-20 15:55:03,216 -- CAMF_CU fold [3] iter 25: loss = 1.025527, delta_loss = 0.11919313, learn_rate = 0.061430473
[DEBUG] 2019-04-20 15:55:03,216 -- CAMF_CU fold [2] iter 35: loss = 0.3550007, delta_loss = 0.027656885, learn_rate = 0.10006377
[DEBUG] 2019-04-20 15:55:03,217 -- CAMF_CU fold [4] iter 38: loss = 0.362572, delta_loss = 0.02346623, learn_rate = 0.11583632
[DEBUG] 2019-04-20 15:55:03,217 -- CAMF_CU fold [3] iter 26: loss = 0.9223418, delta_loss = 0.10318521, learn_rate = 0.064502
[DEBUG] 2019-04-20 15:55:03,218 -- CAMF_CU fold [2] iter 36: loss = 0.3310021, delta_loss = 0.023998594, learn_rate = 0.105066955
[DEBUG] 2019-04-20 15:55:03,219 -- CAMF_CU fold [4] iter 39: loss = 0.34188035, delta_loss = 0.020691663, learn_rate = 0.121628135
[DEBUG] 2019-04-20 15:55:03,219 -- CAMF_CU fold [3] iter 27: loss = 0.8326047, delta_loss = 0.0897371, learn_rate = 0.0677271
[DEBUG] 2019-04-20 15:55:03,219 -- CAMF_CU fold [2] iter 37: loss = 0.31016728, delta_loss = 0.020834802, learn_rate = 0.11032031
[DEBUG] 2019-04-20 15:55:03,220 -- CAMF_CU fold [3] iter 28: loss = 0.7542178, delta_loss = 0.07838692, learn_rate = 0.07111345
[DEBUG] 2019-04-20 15:55:03,221 -- CAMF_CU fold [4] iter 40: loss = 0.32361874, delta_loss = 0.01826161, learn_rate = 0.12770954
[DEBUG] 2019-04-20 15:55:03,221 -- CAMF_CU fold [2] iter 38: loss = 0.2920733, delta_loss = 0.018093972, learn_rate = 0.11583632
[DEBUG] 2019-04-20 15:55:03,222 -- CAMF_CU fold [3] iter 29: loss = 0.6854687, delta_loss = 0.068749115, learn_rate = 0.07466912
[DEBUG] 2019-04-20 15:55:03,223 -- CAMF_CU fold [4] iter 41: loss = 0.30749422, delta_loss = 0.016124526, learn_rate = 0.13409501
[DEBUG] 2019-04-20 15:55:03,223 -- CAMF_CU fold [5] iter 33: loss = 0.43747953, delta_loss = 0.037077866, learn_rate = 0.09076079
[DEBUG] 2019-04-20 15:55:03,223 -- CAMF_CU fold [2] iter 39: loss = 0.27635866, delta_loss = 0.015714653, learn_rate = 0.121628135
[DEBUG] 2019-04-20 15:55:03,224 -- CAMF_CU fold [3] iter 30: loss = 0.6249645, delta_loss = 0.060504228, learn_rate = 0.07840258
[DEBUG] 2019-04-20 15:55:03,224 -- CAMF_CU fold [4] iter 42: loss = 0.2932573, delta_loss = 0.014236928, learn_rate = 0.14079978
[DEBUG] 2019-04-20 15:55:03,225 -- CAMF_CU fold [2] iter 40: loss = 0.26271448, delta_loss = 0.013644207, learn_rate = 0.12770954
[DEBUG] 2019-04-20 15:55:03,225 -- CAMF_CU fold [3] iter 31: loss = 0.57157415, delta_loss = 0.053390276, learn_rate = 0.08232271
[DEBUG] 2019-04-20 15:55:03,226 -- CAMF_CU fold [5] iter 34: loss = 0.40569323, delta_loss = 0.03178631, learn_rate = 0.09529883
[DEBUG] 2019-04-20 15:55:03,226 -- CAMF_CU fold [2] iter 41: loss = 0.2508766, delta_loss = 0.011837861, learn_rate = 0.13409501
[DEBUG] 2019-04-20 15:55:03,221 -- CAMF_CU fold [1] iter 30: loss = 0.58603805, delta_loss = 0.062087666, learn_rate = 0.07840258
[DEBUG] 2019-04-20 15:55:03,226 -- CAMF_CU fold [3] iter 32: loss = 0.5243789, delta_loss = 0.047195252, learn_rate = 0.08643884
[DEBUG] 2019-04-20 15:55:03,228 -- CAMF_CU fold [5] iter 35: loss = 0.3784489, delta_loss = 0.027244316, learn_rate = 0.10006377
[DEBUG] 2019-04-20 15:55:03,228 -- CAMF_CU fold [2] iter 42: loss = 0.24061866, delta_loss = 0.010257936, learn_rate = 0.14079978
[DEBUG] 2019-04-20 15:55:03,228 -- CAMF_CU fold [3] iter 33: loss = 0.48262864, delta_loss = 0.041750286, learn_rate = 0.09076079
[DEBUG] 2019-04-20 15:55:03,229 -- CAMF_CU fold [2] iter 43: loss = 0.23174551, delta_loss = 0.008873161, learn_rate = 0.14783975
[DEBUG] 2019-04-20 15:55:03,229 -- CAMF_CU fold [3] iter 34: loss = 0.44570538, delta_loss = 0.036923252, learn_rate = 0.09529883
[DEBUG] 2019-04-20 15:55:03,230 -- CAMF_CU fold [1] iter 31: loss = 0.53250045, delta_loss = 0.05353763, learn_rate = 0.08232271
[DEBUG] 2019-04-20 15:55:03,230 -- CAMF_CU fold [5] iter 36: loss = 0.3550746, delta_loss = 0.0233743, learn_rate = 0.105066955
[DEBUG] 2019-04-20 15:55:03,231 -- CAMF_CU fold [2] iter 44: loss = 0.22408755, delta_loss = 0.007657955, learn_rate = 0.15523174
[DEBUG] 2019-04-20 15:55:03,231 -- CAMF_CU fold [3] iter 35: loss = 0.41309255, delta_loss = 0.032612838, learn_rate = 0.10006377
[DEBUG] 2019-04-20 15:55:03,232 -- CAMF_CU fold [5] iter 37: loss = 0.33497322, delta_loss = 0.020101404, learn_rate = 0.11032031
[DEBUG] 2019-04-20 15:55:03,232 -- CAMF_CU fold [1] iter 32: loss = 0.4863378, delta_loss = 0.04616261, learn_rate = 0.08643884
[DEBUG] 2019-04-20 15:55:03,232 -- CAMF_CU fold [3] iter 36: loss = 0.38434958, delta_loss = 0.028742967, learn_rate = 0.105066955
[DEBUG] 2019-04-20 15:55:03,233 -- CAMF_CU fold [2] iter 45: loss = 0.21749589, delta_loss = 0.0065916665, learn_rate = 0.16299334
[DEBUG] 2019-04-20 15:55:03,234 -- CAMF_CU fold [5] iter 38: loss = 0.3176204, delta_loss = 0.017352806, learn_rate = 0.11583632
[DEBUG] 2019-04-20 15:55:03,234 -- CAMF_CU fold [1] iter 33: loss = 0.44652632, delta_loss = 0.039811518, learn_rate = 0.09076079
[DEBUG] 2019-04-20 15:55:03,234 -- CAMF_CU fold [3] iter 37: loss = 0.3590919, delta_loss = 0.025257668, learn_rate = 0.11032031
[DEBUG] 2019-04-20 15:55:03,234 -- CAMF_CU fold [2] iter 46: loss = 0.21183816, delta_loss = 0.005657735, learn_rate = 0.171143
[DEBUG] 2019-04-20 15:55:03,236 -- CAMF_CU fold [5] iter 39: loss = 0.3025623, delta_loss = 0.015058109, learn_rate = 0.121628135
[DEBUG] 2019-04-20 15:55:03,236 -- CAMF_CU fold [1] iter 34: loss = 0.41217697, delta_loss = 0.034349352, learn_rate = 0.09529883
[DEBUG] 2019-04-20 15:55:03,236 -- CAMF_CU fold [2] iter 47: loss = 0.20699535, delta_loss = 0.0048427945, learn_rate = 0.17970015
[DEBUG] 2019-04-20 15:55:03,237 -- CAMF_CU fold [3] iter 38: loss = 0.33697554, delta_loss = 0.02211637, learn_rate = 0.11583632
[DEBUG] 2019-04-20 15:55:03,238 -- CAMF_CU fold [5] iter 40: loss = 0.289412, delta_loss = 0.013150298, learn_rate = 0.12770954
[DEBUG] 2019-04-20 15:55:03,238 -- CAMF_CU fold [3] iter 39: loss = 0.3176858, delta_loss = 0.019289725, learn_rate = 0.121628135
[DEBUG] 2019-04-20 15:55:03,238 -- CAMF_CU fold [1] iter 35: loss = 0.3825222, delta_loss = 0.029654767, learn_rate = 0.10006377
[DEBUG] 2019-04-20 15:55:03,239 -- CAMF_CU fold [2] iter 48: loss = 0.20285958, delta_loss = 0.0041357707, learn_rate = 0.18868516
[DEBUG] 2019-04-20 15:55:03,240 -- CAMF_CU fold [3] iter 40: loss = 0.3009299, delta_loss = 0.0167559, learn_rate = 0.12770954
[DEBUG] 2019-04-20 15:55:03,240 -- CAMF_CU fold [5] iter 41: loss = 0.27784508, delta_loss = 0.011566903, learn_rate = 0.13409501
[DEBUG] 2019-04-20 15:55:03,241 -- CAMF_CU fold [3] iter 41: loss = 0.28643245, delta_loss = 0.014497461, learn_rate = 0.13409501
[DEBUG] 2019-04-20 15:55:03,241 -- CAMF_CU fold [1] iter 36: loss = 0.35690343, delta_loss = 0.025618762, learn_rate = 0.105066955
[DEBUG] 2019-04-20 15:55:03,242 -- CAMF_CU fold [5] iter 42: loss = 0.26759404, delta_loss = 0.010251036, learn_rate = 0.14079978
[DEBUG] 2019-04-20 15:55:03,241 -- CAMF_CU fold [2] iter 49: loss = 0.19933258, delta_loss = 0.0035270073, learn_rate = 0.19811942
[DEBUG] 2019-04-20 15:55:03,242 -- CAMF_CU fold [3] iter 42: loss = 0.2739336, delta_loss = 0.0124988565, learn_rate = 0.14079978
[DEBUG] 2019-04-20 15:55:03,243 -- CAMF_CU fold [1] iter 37: loss = 0.33475932, delta_loss = 0.022144107, learn_rate = 0.11032031
[DEBUG] 2019-04-20 15:55:03,243 -- CAMF_CU fold [2] iter 50: loss = 0.19632508, delta_loss = 0.0030075018, learn_rate = 0.20802538
[DEBUG] 2019-04-20 15:55:03,244 -- CAMF_CU fold [5] iter 43: loss = 0.25844193, delta_loss = 0.0091521265, learn_rate = 0.14783975
[DEBUG] 2019-04-20 15:55:03,244 -- CAMF_CU fold [3] iter 43: loss = 0.26318905, delta_loss = 0.01074454, learn_rate = 0.14783975
[DEBUG] 2019-04-20 15:55:03,245 -- CAMF_CU fold [2] iter 51: loss = 0.19375677, delta_loss = 0.0025683031, learn_rate = 0.21842666
[DEBUG] 2019-04-20 15:55:03,245 -- CAMF_CU fold [1] iter 38: loss = 0.3156142, delta_loss = 0.019145126, learn_rate = 0.11583632
[DEBUG] 2019-04-20 15:55:03,245 -- CAMF_CU fold [5] iter 44: loss = 0.25021562, delta_loss = 0.008226311, learn_rate = 0.15523174
[DEBUG] 2019-04-20 15:55:03,247 -- CAMF_CU fold [2] iter 52: loss = 0.19155665, delta_loss = 0.002200125, learn_rate = 0.22934799
[DEBUG] 2019-04-20 15:55:03,247 -- CAMF_CU fold [1] iter 39: loss = 0.29906666, delta_loss = 0.01654752, learn_rate = 0.121628135
[DEBUG] 2019-04-20 15:55:03,247 -- CAMF_CU fold [5] iter 45: loss = 0.24277915, delta_loss = 0.007436464, learn_rate = 0.16299334
[DEBUG] 2019-04-20 15:55:03,248 -- CAMF_CU fold [2] iter 53: loss = 0.18966345, delta_loss = 0.0018931883, learn_rate = 0.24081539
[DEBUG] 2019-04-20 15:55:03,248 -- CAMF_CU fold [1] iter 40: loss = 0.2847786, delta_loss = 0.014288085, learn_rate = 0.12770954
[DEBUG] 2019-04-20 15:55:03,249 -- CAMF_CU fold [5] iter 46: loss = 0.23602718, delta_loss = 0.006751962, learn_rate = 0.171143
[DEBUG] 2019-04-20 15:55:03,250 -- CAMF_CU fold [2] iter 54: loss = 0.18802619, delta_loss = 0.0016372743, learn_rate = 0.25285617
[DEBUG] 2019-04-20 15:55:03,250 -- CAMF_CU fold [1] iter 41: loss = 0.27246442, delta_loss = 0.012314153, learn_rate = 0.13409501
[DEBUG] 2019-04-20 15:55:03,250 -- CAMF_CU fold [5] iter 47: loss = 0.22987893, delta_loss = 0.006148249, learn_rate = 0.17970015
[DEBUG] 2019-04-20 15:55:03,254 -- CAMF_CU fold [5] iter 48: loss = 0.22427265, delta_loss = 0.005606279, learn_rate = 0.18868516
[DEBUG] 2019-04-20 15:55:03,255 -- CAMF_CU fold [5] iter 49: loss = 0.2191608, delta_loss = 0.0051118685, learn_rate = 0.19811942
[DEBUG] 2019-04-20 15:55:03,254 -- CAMF_CU fold [3] iter 44: loss = 0.25397128, delta_loss = 0.009217767, learn_rate = 0.15523174
[DEBUG] 2019-04-20 15:55:03,256 -- CAMF_CU fold [3] iter 45: loss = 0.24607126, delta_loss = 0.007900031, learn_rate = 0.16299334
[DEBUG] 2019-04-20 15:55:03,256 -- CAMF_CU fold [3] iter 46: loss = 0.23930019, delta_loss = 0.0067710765, learn_rate = 0.171143
[DEBUG] 2019-04-20 15:55:03,257 -- CAMF_CU fold [5] iter 50: loss = 0.2145058, delta_loss = 0.004654978, learn_rate = 0.20802538
[DEBUG] 2019-04-20 15:55:03,257 -- CAMF_CU fold [3] iter 47: loss = 0.23349082, delta_loss = 0.0058093574, learn_rate = 0.17970015
[DEBUG] 2019-04-20 15:55:03,258 -- CAMF_CU fold [5] iter 51: loss = 0.2102769, delta_loss = 0.0042289062, learn_rate = 0.21842666
[DEBUG] 2019-04-20 15:55:03,258 -- CAMF_CU fold [3] iter 48: loss = 0.22849804, delta_loss = 0.004992784, learn_rate = 0.18868516
[DEBUG] 2019-04-20 15:55:03,259 -- CAMF_CU fold [5] iter 52: loss = 0.20644753, delta_loss = 0.0038293826, learn_rate = 0.22934799
[DEBUG] 2019-04-20 15:55:03,259 -- CAMF_CU fold [3] iter 49: loss = 0.22419846, delta_loss = 0.0042995824, learn_rate = 0.19811942
[DEBUG] 2019-04-20 15:55:03,259 -- CAMF_CU fold [3] iter 50: loss = 0.22048935, delta_loss = 0.0037091014, learn_rate = 0.20802538
[DEBUG] 2019-04-20 15:55:03,260 -- CAMF_CU fold [5] iter 53: loss = 0.20299399, delta_loss = 0.00345353, learn_rate = 0.24081539
[DEBUG] 2019-04-20 15:55:03,261 -- CAMF_CU fold [5] iter 54: loss = 0.19989532, delta_loss = 0.0030986732, learn_rate = 0.25285617
[DEBUG] 2019-04-20 15:55:03,253 -- CAMF_CU fold [2] iter 55: loss = 0.18660428, delta_loss = 0.0014219078, learn_rate = 0.26549897
[DEBUG] 2019-04-20 15:55:03,264 -- CAMF_CU fold [2] iter 56: loss = 0.18536775, delta_loss = 0.0012365258, learn_rate = 0.2787739
[DEBUG] 2019-04-20 15:55:03,265 -- CAMF_CU fold [2] iter 57: loss = 0.18429737, delta_loss = 0.0010703829, learn_rate = 0.2927126
[DEBUG] 2019-04-20 15:55:03,253 -- CAMF_CU fold [1] iter 42: loss = 0.26188168, delta_loss = 0.010582769, learn_rate = 0.14079978
[DEBUG] 2019-04-20 15:55:03,266 -- CAMF_CU fold [1] iter 43: loss = 0.25282207, delta_loss = 0.009059598, learn_rate = 0.14783975
[DEBUG] 2019-04-20 15:55:03,267 -- CAMF_CU fold [2] iter 58: loss = 0.18338561, delta_loss = 9.1175496E-4, learn_rate = 0.30734825
[DEBUG] 2019-04-20 15:55:03,267 -- CAMF_CU fold [2] iter 59: loss = 0.18264009, delta_loss = 7.45527E-4, learn_rate = 0.32271564
[DEBUG] 2019-04-20 15:55:03,265 -- CAMF_CU fold [5] iter 55: loss = 0.19713439, delta_loss = 0.0027609353, learn_rate = 0.26549897
[DEBUG] 2019-04-20 15:55:03,268 -- CAMF_CU fold [5] iter 56: loss = 0.1947009, delta_loss = 0.0024334851, learn_rate = 0.2787739
[DEBUG] 2019-04-20 15:55:03,260 -- CAMF_CU fold [3] iter 51: loss = 0.21728693, delta_loss = 0.003202438, learn_rate = 0.21842666
[DEBUG] 2019-04-20 15:55:03,255 -- CAMF_CU fold [4] iter 43: loss = 0.28069457, delta_loss = 0.012562698, learn_rate = 0.14783975
[DEBUG] 2019-04-20 15:55:03,269 -- CAMF_CU fold [3] iter 52: loss = 0.21452413, delta_loss = 0.0027627917, learn_rate = 0.22934799
[DEBUG] 2019-04-20 15:55:03,270 -- CAMF_CU fold [4] iter 44: loss = 0.26962224, delta_loss = 0.011072349, learn_rate = 0.15523174
[DEBUG] 2019-04-20 15:55:03,270 -- CAMF_CU fold [3] iter 53: loss = 0.21214862, delta_loss = 0.0023755103, learn_rate = 0.24081539
[DEBUG] 2019-04-20 15:55:03,271 -- CAMF_CU fold [3] iter 54: loss = 0.2101208, delta_loss = 0.0020278238, learn_rate = 0.25285617
[DEBUG] 2019-04-20 15:55:03,271 -- CAMF_CU fold [3] iter 55: loss = 0.2084125, delta_loss = 0.0017082981, learn_rate = 0.26549897
[DEBUG] 2019-04-20 15:55:03,271 -- CAMF_CU fold [4] iter 45: loss = 0.25988004, delta_loss = 0.009742196, learn_rate = 0.16299334
[DEBUG] 2019-04-20 15:55:03,272 -- CAMF_CU fold [3] iter 56: loss = 0.20700644, delta_loss = 0.001406059, learn_rate = 0.2787739
[DEBUG] 2019-04-20 15:55:03,272 -- CAMF_CU fold [4] iter 46: loss = 0.25132656, delta_loss = 0.008553472, learn_rate = 0.171143
[DEBUG] 2019-04-20 15:55:03,273 -- CAMF_CU fold [3] iter 57: loss = 0.2058966, delta_loss = 0.0011098391, learn_rate = 0.2927126
[DEBUG] 2019-04-20 15:55:03,273 -- CAMF_CU fold [4] iter 47: loss = 0.24383515, delta_loss = 0.0074914107, learn_rate = 0.17970015
[DEBUG] 2019-04-20 15:55:03,273 -- CAMF_CU fold [3] iter 58: loss = 0.20508975, delta_loss = 8.0685376E-4, learn_rate = 0.30734825
[DEBUG] 2019-04-20 15:55:03,274 -- CAMF_CU fold [4] iter 48: loss = 0.23729084, delta_loss = 0.006544309, learn_rate = 0.18868516
[DEBUG] 2019-04-20 15:55:03,274 -- CAMF_CU fold [3] iter 59: loss = 0.20460846, delta_loss = 4.8129505E-4, learn_rate = 0.32271564
[DEBUG] 2019-04-20 15:55:03,275 -- CAMF_CU fold [3] iter 60: loss = 0.20449705, delta_loss = 1.1139401E-4, learn_rate = 0.33885145
[DEBUG] 2019-04-20 15:55:03,275 -- CAMF_CU fold [4] iter 49: loss = 0.23158823, delta_loss = 0.0057026152, learn_rate = 0.19811942
[DEBUG] 2019-04-20 15:55:03,275 -- CAMF_CU fold [5] iter 57: loss = 0.19259681, delta_loss = 0.002104084, learn_rate = 0.2927126
[DEBUG] 2019-04-20 15:55:03,268 -- CAMF_CU fold [2] iter 60: loss = 0.1820933, delta_loss = 5.4677506E-4, learn_rate = 0.33885145
[DEBUG] 2019-04-20 15:55:03,276 -- CAMF_CU fold [3] iter 61: loss = 0.20483613, delta_loss = -3.3907781E-4, learn_rate = 0.355794
[DEBUG] 2019-04-20 15:55:03,277 -- CAMF_CU fold [4] iter 50: loss = 0.22663021, delta_loss = 0.004958026, learn_rate = 0.20802538
[DEBUG] 2019-04-20 15:55:03,277 -- CAMF_CU fold [5] iter 58: loss = 0.19084576, delta_loss = 0.0017510616, learn_rate = 0.30734825
[DEBUG] 2019-04-20 15:55:03,278 -- CAMF_CU fold [3] iter 62: loss = 0.1994261, delta_loss = 0.005410036, learn_rate = 0.177897
[DEBUG] 2019-04-20 15:55:03,279 -- CAMF_CU fold [4] iter 51: loss = 0.2223276, delta_loss = 0.004302605, learn_rate = 0.21842666
[DEBUG] 2019-04-20 15:55:03,279 -- CAMF_CU fold [2] iter 61: loss = 0.1818309, delta_loss = 2.624137E-4, learn_rate = 0.355794
[DEBUG] 2019-04-20 15:55:03,267 -- CAMF_CU fold [1] iter 44: loss = 0.24510442, delta_loss = 0.0077176513, learn_rate = 0.15523174
[DEBUG] 2019-04-20 15:55:03,279 -- CAMF_CU fold [3] iter 63: loss = 0.1946806, delta_loss = 0.004745496, learn_rate = 0.18679185
[DEBUG] 2019-04-20 15:55:03,280 -- CAMF_CU fold [4] iter 52: loss = 0.21859969, delta_loss = 0.0037279124, learn_rate = 0.22934799
[DEBUG] 2019-04-20 15:55:03,281 -- CAMF_CU fold [5] iter 59: loss = 0.18951027, delta_loss = 0.0013354863, learn_rate = 0.32271564
[DEBUG] 2019-04-20 15:55:03,282 -- CAMF_CU fold [3] iter 64: loss = 0.19039485, delta_loss = 0.004285748, learn_rate = 0.19613145
[DEBUG] 2019-04-20 15:55:03,282 -- CAMF_CU fold [1] iter 45: loss = 0.23856851, delta_loss = 0.0065359, learn_rate = 0.16299334
[DEBUG] 2019-04-20 15:55:03,282 -- CAMF_CU fold [4] iter 53: loss = 0.21537554, delta_loss = 0.0032241442, learn_rate = 0.24081539
[DEBUG] 2019-04-20 15:55:03,283 -- CAMF_CU fold [2] iter 62: loss = 0.18208298, delta_loss = -2.520902E-4, learn_rate = 0.3735837
[DEBUG] 2019-04-20 15:55:03,283 -- CAMF_CU fold [3] iter 65: loss = 0.18763474, delta_loss = 0.002760117, learn_rate = 0.20593803
[DEBUG] 2019-04-20 15:55:03,283 -- CAMF_CU fold [5] iter 60: loss = 0.18872684, delta_loss = 7.834169E-4, learn_rate = 0.33885145
[DEBUG] 2019-04-20 15:55:03,284 -- CAMF_CU fold [1] iter 46: loss = 0.23307066, delta_loss = 0.0054978603, learn_rate = 0.171143
[DEBUG] 2019-04-20 15:55:03,285 -- CAMF_CU fold [2] iter 63: loss = 0.18157755, delta_loss = 5.054387E-4, learn_rate = 0.18679185
[DEBUG] 2019-04-20 15:55:03,285 -- CAMF_CU fold [3] iter 66: loss = 0.18590832, delta_loss = 0.0017264264, learn_rate = 0.21623492
[DEBUG] 2019-04-20 15:55:03,285 -- CAMF_CU fold [5] iter 61: loss = 0.188787, delta_loss = -6.015442E-5, learn_rate = 0.355794
[DEBUG] 2019-04-20 15:55:03,286 -- CAMF_CU fold [1] iter 47: loss = 0.22848043, delta_loss = 0.004590233, learn_rate = 0.17970015
[DEBUG] 2019-04-20 15:55:03,287 -- CAMF_CU fold [2] iter 64: loss = 0.17868073, delta_loss = 0.0028968144, learn_rate = 0.19613145
[DEBUG] 2019-04-20 15:55:03,287 -- CAMF_CU fold [3] iter 67: loss = 0.1847542, delta_loss = 0.0011541257, learn_rate = 0.22704667
[DEBUG] 2019-04-20 15:55:03,287 -- CAMF_CU fold [5] iter 62: loss = 0.18517423, delta_loss = 0.0036127781, learn_rate = 0.177897
[DEBUG] 2019-04-20 15:55:03,288 -- CAMF_CU fold [3] iter 68: loss = 0.18389715, delta_loss = 8.570265E-4, learn_rate = 0.238399
[DEBUG] 2019-04-20 15:55:03,288 -- CAMF_CU fold [2] iter 65: loss = 0.17704296, delta_loss = 0.0016377714, learn_rate = 0.20593803
[DEBUG] 2019-04-20 15:55:03,289 -- CAMF_CU fold [5] iter 63: loss = 0.18130806, delta_loss = 0.0038661582, learn_rate = 0.18679185
[DEBUG] 2019-04-20 15:55:03,289 -- CAMF_CU fold [3] iter 69: loss = 0.1832004, delta_loss = 6.9676025E-4, learn_rate = 0.25031894
[DEBUG] 2019-04-20 15:55:03,290 -- CAMF_CU fold [2] iter 66: loss = 0.17640325, delta_loss = 6.397078E-4, learn_rate = 0.21623492
[DEBUG] 2019-04-20 15:55:03,291 -- CAMF_CU fold [5] iter 64: loss = 0.17736375, delta_loss = 0.003944319, learn_rate = 0.19613145
[DEBUG] 2019-04-20 15:55:03,291 -- CAMF_CU fold [1] iter 48: loss = 0.22467878, delta_loss = 0.0038016378, learn_rate = 0.18868516
[DEBUG] 2019-04-20 15:55:03,291 -- CAMF_CU fold [4] iter 54: loss = 0.21259625, delta_loss = 0.0027792966, learn_rate = 0.25285617
[DEBUG] 2019-04-20 15:55:03,292 -- CAMF_CU fold [2] iter 67: loss = 0.17596158, delta_loss = 4.4166527E-4, learn_rate = 0.22704667
[DEBUG] 2019-04-20 15:55:03,293 -- CAMF_CU fold [5] iter 65: loss = 0.1756373, delta_loss = 0.0017264426, learn_rate = 0.20593803
[DEBUG] 2019-04-20 15:55:03,293 -- CAMF_CU fold [1] iter 49: loss = 0.2215573, delta_loss = 0.0031214834, learn_rate = 0.19811942
[DEBUG] 2019-04-20 15:55:03,294 -- CAMF_CU fold [4] iter 55: loss = 0.2102179, delta_loss = 0.002378349, learn_rate = 0.26549897
[DEBUG] 2019-04-20 15:55:03,294 -- CAMF_CU fold [2] iter 68: loss = 0.17555195, delta_loss = 4.0963836E-4, learn_rate = 0.238399
[DEBUG] 2019-04-20 15:55:03,295 -- CAMF_CU fold [5] iter 66: loss = 0.17439362, delta_loss = 0.0012436825, learn_rate = 0.21623492
[DEBUG] 2019-04-20 15:55:03,295 -- CAMF_CU fold [1] iter 50: loss = 0.21901834, delta_loss = 0.0025389623, learn_rate = 0.20802538
[DEBUG] 2019-04-20 15:55:03,296 -- CAMF_CU fold [2] iter 69: loss = 0.17515606, delta_loss = 3.9589228E-4, learn_rate = 0.25031894
[DEBUG] 2019-04-20 15:55:03,296 -- CAMF_CU fold [4] iter 56: loss = 0.20821545, delta_loss = 0.0020024485, learn_rate = 0.2787739
[DEBUG] 2019-04-20 15:55:03,296 -- CAMF_CU fold [5] iter 67: loss = 0.17344837, delta_loss = 9.452538E-4, learn_rate = 0.22704667
[DEBUG] 2019-04-20 15:55:03,297 -- CAMF_CU fold [1] iter 51: loss = 0.2169762, delta_loss = 0.0020421403, learn_rate = 0.21842666
[DEBUG] 2019-04-20 15:55:03,298 -- CAMF_CU fold [4] iter 57: loss = 0.20658748, delta_loss = 0.0016279683, learn_rate = 0.2927126
[DEBUG] 2019-04-20 15:55:03,298 -- CAMF_CU fold [5] iter 68: loss = 0.17273223, delta_loss = 7.1613234E-4, learn_rate = 0.238399
[DEBUG] 2019-04-20 15:55:03,299 -- CAMF_CU fold [1] iter 52: loss = 0.21535914, delta_loss = 0.0016170621, learn_rate = 0.22934799
[DEBUG] 2019-04-20 15:55:03,299 -- CAMF_CU fold [4] iter 58: loss = 0.20536241, delta_loss = 0.0012250786, learn_rate = 0.30734825
[DEBUG] 2019-04-20 15:55:03,300 -- CAMF_CU fold [5] iter 69: loss = 0.1721766, delta_loss = 5.556361E-4, learn_rate = 0.25031894
