Final Results by CAMF_CI, Pre5: 0.008210,Pre10: 0.004105, Pre2: 0.020524, Rec5: 0.038778, Rec10: 0.038778, Rec2: 0.038778, AUC5: 0.520066, AUC10: 0.520066, AUC2: 0.520066, MAP5: 0.029491, MAP10: 0.029491, MAP2: 0.029491, NDCG5: 0.032399, NDCG10: 0.032399,NDCG2: 0.032399,MRR5: 0.031534, MRR10: 0.031534,MRR2: 0.031534, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.020333,Pre10: 0.020772, Rec5: 0.092649, Rec10: 0.188456, AUC5: 0.546033, AUC10: 0.583797, MAP5: 0.043611, MAP10: 0.055830,NDCG5: 0.056735, NDCG10: 0.087786,MRR5: 0.047512, MRR10: 0.060775, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.033677,Pre10: 0.032044, Rec5: 0.157525, Rec10: 0.303902, AUC5: 0.566162, AUC10: 0.605333, MAP5: 0.064446, MAP10: 0.084242,NDCG5: 0.088299, NDCG10: 0.135715,MRR5: 0.068581, MRR10: 0.087403, numFactors: 10, numIter: 500, lrate: 1.0E-6, maxlrate: -1.0, regB: 0.001, regU: 0.001, regI: 0.001, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CI, Pre5: 0.030316,Pre10: 0.035920, Rec5: 0.142614, Rec10: 0.340960, AUC5: 0.559275, AUC10: 0.611937, MAP5: 0.062603, MAP10: 0.088425,NDCG5: 0.082694, NDCG10: 0.146652,MRR5: 0.064017, MRR10: 0.090468, numFactors: 10, numIter: 500, lrate: 1.0E-6, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.029482,Pre10: 0.034105, Rec5: 0.136553, Rec10: 0.326402, AUC5: 0.559291, AUC10: 0.609740, MAP5: 0.061101, MAP10: 0.087161,NDCG5: 0.080912, NDCG10: 0.142697,MRR5: 0.065375, MRR10: 0.090172, numFactors: 10, numIter: 500, lrate: 1.0E-6, maxlrate: -1.0, regB: 2.0E-4, regU: 2.0E-4, regI: 2.0E-4, regC: 2.0E-4, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CI, Pre5: 0.026990,Pre10: 0.030220, Rec5: 0.124848, Rec10: 0.282342, AUC5: 0.553435, AUC10: 0.593805, MAP5: 0.054550, MAP10: 0.075549,NDCG5: 0.072480, NDCG10: 0.123482,MRR5: 0.056023, MRR10: 0.076451, numFactors: 10, numIter: 500, lrate: 1.0E-4, maxlrate: -1.0, regB: 2.0E-4, regU: 2.0E-4, regI: 2.0E-4, regC: 2.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.027921,Pre10: 0.035998, Rec5: 0.125139, Rec10: 0.322103, AUC5: 0.555062, AUC10: 0.608423, MAP5: 0.052835, MAP10: 0.079365,NDCG5: 0.072097, NDCG10: 0.136895,MRR5: 0.057678, MRR10: 0.084802, numFactors: 10, numIter: 500, lrate: 1.0E-4, maxlrate: -1.0, regB: 2.0E-4, regU: 2.0E-4, regI: 2.0E-4, regC: 2.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.035250,Pre10: 0.034738, Rec5: 0.154544, Rec10: 0.309147, AUC5: 0.569977, AUC10: 0.610831, MAP5: 0.078498, MAP10: 0.099192,NDCG5: 0.099162, NDCG10: 0.149620,MRR5: 0.084919, MRR10: 0.105270, numFactors: 10, numIter: 500, lrate: 0.001, maxlrate: -1.0, regB: 2.0E-4, regU: 2.0E-4, regI: 2.0E-4, regC: 2.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.035595,Pre10: 0.036129, Rec5: 0.154901, Rec10: 0.321746, AUC5: 0.571276, AUC10: 0.614831, MAP5: 0.074688, MAP10: 0.095680,NDCG5: 0.097136, NDCG10: 0.150414,MRR5: 0.084360, MRR10: 0.105653, numFactors: 10, numIter: 500, lrate: 1.0E-4, maxlrate: -1.0, regB: 2.0E-4, regU: 2.0E-4, regI: 2.0E-4, regC: 2.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.031802,Pre10: 0.032651, Rec5: 0.138016, Rec10: 0.289107, AUC5: 0.565824, AUC10: 0.604462, MAP5: 0.069154, MAP10: 0.089123,NDCG5: 0.089451, NDCG10: 0.138346,MRR5: 0.082132, MRR10: 0.101472, numFactors: 10, numIter: 500, lrate: 2.0E-4, maxlrate: -1.0, regB: 2.0E-4, regU: 2.0E-4, regI: 2.0E-4, regC: 2.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.028591,Pre10: 0.034109, Rec5: 0.124881, Rec10: 0.303922, AUC5: 0.554215, AUC10: 0.601466, MAP5: 0.050192, MAP10: 0.073752,NDCG5: 0.070157, NDCG10: 0.128249,MRR5: 0.056283, MRR10: 0.079823, numFactors: 10, numIter: 500, lrate: 2.0E-4, maxlrate: -1.0, regB: 3.0E-4, regU: 3.0E-4, regI: 3.0E-4, regC: 3.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.039839,Pre10: 0.040534, Rec5: 0.186693, Rec10: 0.369851, AUC5: 0.577745, AUC10: 0.630182, MAP5: 0.071755, MAP10: 0.095922,NDCG5: 0.100975, NDCG10: 0.161203,MRR5: 0.074273, MRR10: 0.100319, numFactors: 10, numIter: 500, lrate: 2.0E-4, maxlrate: -1.0, regB: 3.0E-4, regU: 3.0E-4, regI: 3.0E-4, regC: 3.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.029255,Pre10: 0.039034, Rec5: 0.129795, Rec10: 0.351693, AUC5: 0.555662, AUC10: 0.614699, MAP5: 0.055498, MAP10: 0.083338,NDCG5: 0.075012, NDCG10: 0.146330,MRR5: 0.059604, MRR10: 0.089483, numFactors: 10, numIter: 500, lrate: 2.0E-4, maxlrate: -1.0, regB: 3.0E-4, regU: 3.0E-4, regI: 3.0E-4, regC: 3.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.037610,Pre10: 0.039825, Rec5: 0.175122, Rec10: 0.365374, AUC5: 0.574306, AUC10: 0.627617, MAP5: 0.069584, MAP10: 0.094561,NDCG5: 0.096808, NDCG10: 0.158997,MRR5: 0.074319, MRR10: 0.100826, numFactors: 10, numIter: 500, lrate: 2.0E-4, maxlrate: -1.0, regB: 3.0E-4, regU: 3.0E-4, regI: 3.0E-4, regC: 3.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.028468,Pre10: 0.033219, Rec5: 0.134288, Rec10: 0.307688, AUC5: 0.559652, AUC10: 0.611008, MAP5: 0.058346, MAP10: 0.080583,NDCG5: 0.078002, NDCG10: 0.134187,MRR5: 0.061173, MRR10: 0.085187, numFactors: 10, numIter: 500, lrate: 2.0E-4, maxlrate: -1.0, regB: 3.0E-4, regU: 3.0E-4, regI: 3.0E-4, regC: 3.0E-4, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CI, Pre5: 0.031190,Pre10: 0.032408, Rec5: 0.143839, Rec10: 0.292786, AUC5: 0.563077, AUC10: 0.608087, MAP5: 0.065754, MAP10: 0.084755,NDCG5: 0.085784, NDCG10: 0.134164,MRR5: 0.068553, MRR10: 0.089241, numFactors: 10, numIter: 500, lrate: 2.0E-4, maxlrate: -1.0, regB: 3.0E-4, regU: 3.0E-4, regI: 3.0E-4, regC: 3.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.034704,Pre10: 0.032771, Rec5: 0.161133, Rec10: 0.302159, AUC5: 0.572052, AUC10: 0.613339, MAP5: 0.072162, MAP10: 0.090678,NDCG5: 0.095455, NDCG10: 0.141266,MRR5: 0.077151, MRR10: 0.096060, numFactors: 10, numIter: 500, lrate: 2.0E-4, maxlrate: -1.0, regB: 3.0E-4, regU: 3.0E-4, regI: 3.0E-4, regC: 3.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.037899,Pre10: 0.034891, Rec5: 0.177026, Rec10: 0.319093, AUC5: 0.577183, AUC10: 0.621361, MAP5: 0.078322, MAP10: 0.097299,NDCG5: 0.103655, NDCG10: 0.150504,MRR5: 0.082259, MRR10: 0.102604, numFactors: 10, numIter: 500, lrate: 2.0E-4, maxlrate: -1.0, regB: 0.001, regU: 0.001, regI: 0.001, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.031140,Pre10: 0.033523, Rec5: 0.138677, Rec10: 0.306323, AUC5: 0.562782, AUC10: 0.611854, MAP5: 0.064322, MAP10: 0.085929,NDCG5: 0.084064, NDCG10: 0.138143,MRR5: 0.069560, MRR10: 0.092069, numFactors: 10, numIter: 500, lrate: 0.002, maxlrate: -1.0, regB: 0.001, regU: 0.001, regI: 0.001, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CI, Pre5: 0.029512,Pre10: 0.033638, Rec5: 0.135173, Rec10: 0.306347, AUC5: 0.561847, AUC10: 0.612343, MAP5: 0.066150, MAP10: 0.088555,NDCG5: 0.084523, NDCG10: 0.140260,MRR5: 0.071050, MRR10: 0.094506, numFactors: 10, numIter: 500, lrate: 0.002, maxlrate: -1.0, regB: 0.001, regU: 0.001, regI: 0.001, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
Final Results by CAMF_CI, Pre5: 0.032387,Pre10: 0.033449, Rec5: 0.147442, Rec10: 0.305240, AUC5: 0.568185, AUC10: 0.613561, MAP5: 0.072860, MAP10: 0.093071,NDCG5: 0.092981, NDCG10: 0.143799,MRR5: 0.078772, MRR10: 0.099522, numFactors: 10, numIter: 500, lrate: 0.002, maxlrate: -1.0, regB: 0.01, regU: 0.01, regI: 0.001, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.028240,Pre10: 0.030208, Rec5: 0.127962, Rec10: 0.278786, AUC5: 0.559400, AUC10: 0.604444, MAP5: 0.060539, MAP10: 0.080244,NDCG5: 0.078931, NDCG10: 0.127901,MRR5: 0.067050, MRR10: 0.087803, numFactors: 10, numIter: 500, lrate: 0.002, maxlrate: -1.0, regB: 0.001, regU: 0.001, regI: 0.001, regC: 0.01, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.031490,Pre10: 0.034104, Rec5: 0.143679, Rec10: 0.307964, AUC5: 0.566163, AUC10: 0.613801, MAP5: 0.072437, MAP10: 0.093886,NDCG5: 0.091518, NDCG10: 0.144904,MRR5: 0.077646, MRR10: 0.099658, numFactors: 10, numIter: 500, lrate: 0.001, maxlrate: -1.0, regB: 0.001, regU: 0.001, regI: 0.001, regC: 0.001, isBoldDriver: true, Time: '00:01','00:00'
